id,name_ja,name_en,is_megastone
1,ちからのハチマキ,Muscle Band,false
2,ものしりメガネ,Wise Glasses,false
3,おおきなねっこ,Big Root,false
4,ひかりのねんど,Light Clay,false
5,メトロノーム,Metronome,false
6,こうかくレンズ,Wide Lens,false
7,あついいわ,Heat Rock,false
8,さらさらいわ,Smooth Rock,false
9,しめったいわ,Damp Rock,false
10,つめたいいわ,Icy Rock,false
11,いのちのたま,Life Orb,false
12,きれいなぬけがら,Shed Shell,false
13,くろいてっきゅう,Iron Ball,false
14,たつじんのおび,Expert Belt,false
15,フォーカスレンズ,Zoom Lens,false
16,クラボのみ,Cheri Berry,false
17,カゴのみ,Chesto Berry,false
18,モモンのみ,Pecha Berry,false
19,チーゴのみ,Rawst Berry,false
20,ナナシのみ,Aspear Berry,false
21,ヒメリのみ,Leppa Berry,false
22,オレンのみ,Oran Berry,false
23,キーのみ,Persim Berry,false
24,ラムのみ,Lum Berry,false
25,オボンのみ,Sitrus Berry,false
26,オッカのみ,Occa Berry,false
27,イトケのみ,Passho Berry,false
28,ソクノのみ,Wacan Berry,false
29,リンドのみ,Rindo Berry,false
30,ヤチェのみ,Yache Berry,false
31,ヨプのみ,Chople Berry,false
32,ビアーのみ,Kebia Berry,false
33,シュカのみ,Shuca Berry,false
34,バコウのみ,Coba Berry,false
35,ウタンのみ,Payapa Berry,false
36,タンガのみ,Tanga Berry,false
37,ヨロギのみ,Charti Berry,false
38,カシブのみ,Kasib Berry,false
39,ハバンのみ,Haban Berry,false
40,ナモのみ,Colbur Berry,false
41,リリバのみ,Babiri Berry,false
42,ロゼルのみ,Roseli Berry,false
43,ホズのみ,Chilan Berry,false
44,おうじゃのしるし,King's Rock,false
45,メタルコート,Metal Coat,false
46,きせきのタネ,Miracle Seed,false
47,もくたん,Charcoal,false
48,しんぴのしずく,Mystic Water,false
49,シルクのスカーフ,Silk Scarf,false
50,するどいくちばし,Sharp Beak,false
51,ぎんのこな,Silver Powder,false
52,じしゃく,Magnet,false
53,かたいいし,Hard Stone,false
54,のろいのおふだ,Spell Tag,false
55,りゅうのキバ,Dragon Fang,false
56,どくばり,Poison Barb,false
57,やわらかいすな,Soft Sand,false
58,くろいメガネ,Black Glasses,false
59,くろおび,Black Belt,false
60,とけないこおり,Never-Melt Ice,false
61,まがったスプーン,Twisted Spoon,false
62,きあいのハチマキ,Focus Band,false
63,ピントレンズ,Scope Lens,false
64,たべのこし,Leftovers,false
65,かいがらのすず,Shell Bell,false
66,きあいのタスキ,Focus Sash,false
67,こだわりスカーフ,Choice Scarf,false
68,でんきだま,Light Ball,false
69,ひかりのこな,Bright Powder,false
70,しろいハーブ,White Herb,false
71,メンタルハーブ,Mental Herb,false
72,ようせいのハネ,Fairy Feather,false
73,オーダイルナイト,Feraligatrinite,true
74,メガニウムナイト,Meganiumite,true
75,エンブオナイト,Emboarite,true
76,スピアナイト,Beedrillite,true
77,デンリュウナイト,Ampharosite,true
78,ガメノデスナイト,Barbaracleite,true
79,スターミナイト,Starmite,true
80,ウツボットナイト,Victreebelite,true
81,チルタリスナイト,Altarianite,true
82,ジュペッタナイト,Banettite,true
83,バクーダナイト,Cameruptite,true
84,クチートナイト,Mawilite,true
85,アブソルナイト,Absolite,true
86,ヤドランナイト,Slowbronite,true
87,カイリュナイト,Dragoniteite,true
88,ユキメノコナイト,Froslassite,true
89,ルチャブルナイト,Hawluchanite,true
90,バンギラスナイト,Tyranitarite,true
91,ピジョットナイト,Pidgeotite,true
92,ライボルトナイト,Manectite,true
93,ヘルガナイト,Houndoominite,true
94,タブンネナイト,Audinite,true
95,ミミロップナイト,Lopunnite,true
96,ヤミラミナイト,Sablenite,true
97,サメハダナイト,Sharpedonite,true
98,ギャラドスナイト,Gyaradosite,true
99,ルカリオナイト,Lucarionite,true
100,ヘラクロスナイト,Heracronite,true
101,プテラナイト,Aerodactylite,true
102,フーディナイト,Alakazamite,true
103,ジジーロナイト,Drampashite,true
104,シビルドナイト,Eelektrossite,true
105,オニゴーリナイト,Glalitite,true
