id,name_ja,name_en,type,category
1,あくのはどう,,あく,特殊
2,あくび,,ノーマル,変化
3,あさのひざし,,ノーマル,変化
4,あなをほる,,じめん,物理
5,あばれる,,ノーマル,物理
6,あまいかおり,,ノーマル,変化
7,あまえる,,フェアリー,変化
8,あまごい,,みず,変化
9,あやしいひかり,,ゴースト,変化
10,いえき,,どく,変化
11,いかりのこな,,むし,変化
12,いかりのまえば,,ノーマル,物理
13,いたみわけ,,ノーマル,変化
14,いちゃもん,,あく,変化
15,いとをはく,,むし,変化
16,いのちがけ,,かくとう,特殊
17,いのちのしずく,,みず,変化
18,いばる,,ノーマル,変化
19,いびき,,ノーマル,特殊
20,いやしのすず,,ノーマル,変化
21,いやしのねがい,,エスパー,変化
22,いやしのはどう,,エスパー,変化
23,いやなおと,,ノーマル,変化
24,いわなだれ,,いわ,物理
25,うずしお,,みず,特殊
26,うそなき,,あく,変化
27,うたう,,ノーマル,変化
28,うたかたのアリア,,みず,特殊
29,うちおとす,,いわ,物理
30,ウッドハンマー,,くさ,物理
31,ウッドホーン,,くさ,物理
32,うっぷんばらし,,あく,物理
33,うらみ,,ゴースト,変化
34,うらみつらみ,,ゴースト,特殊
35,エアカッター,,ひこう,特殊
36,エアスラッシュ,,ひこう,特殊
37,エナジーボール,,くさ,特殊
38,エレキネット,,でんき,特殊
39,エレキフィールド,,でんき,変化
40,エレキボール,,でんき,特殊
41,エレクトロビーム,,でんき,特殊
42,オーバーヒート,,ほのお,特殊
43,オーラぐるま,,でんき,物理
44,オーロラベール,,こおり,変化
45,おいかぜ,,ひこう,変化
46,おかたづけ,,ノーマル,変化
47,おきみやげ,,あく,変化
48,おさきにどうぞ,,ノーマル,変化
49,おたけび,,ノーマル,変化
50,おだてる,,あく,変化
51,おちゃかい,,ノーマル,変化
52,おにび,,ほのお,変化
53,おはかまいり,,ゴースト,物理
54,かいでんぱ,,でんき,変化
55,かえんほうしゃ,,ほのお,特殊
56,かかとおとし,,かくとう,物理
57,かげうち,,ゴースト,物理
58,かげぬい,,ゴースト,物理
59,かげぶんしん,,ノーマル,変化
60,かなしばり,,ノーマル,変化
61,かふんだんご,,むし,特殊
62,かみくだく,,あく,物理
63,かみつく,,あく,物理
64,かみなり,,でんき,特殊
65,かみなりのキバ,,でんき,物理
66,かみなりパンチ,,でんき,物理
67,からげんき,,ノーマル,物理
68,からをやぶる,,ノーマル,変化
69,かわらわり,,かくとう,物理
70,ガードシェア,,エスパー,変化
71,ガードスワップ,,エスパー,変化
72,がむしゃら,,ノーマル,物理
73,がんせきアックス,,いわ,物理
74,がんせきふうじ,,いわ,物理
75,がんせきほう,,いわ,物理
76,きあいだま,,かくとう,特殊
77,きあいだめ,,ノーマル,変化
78,きあいパンチ,,かくとう,物理
79,きしかいせい,,かくとう,物理
80,きまぐレーザー,,ドラゴン,特殊
81,きゅうけつ,,むし,物理
82,きりばらい,,ひこう,変化
83,キングシールド,,はがね,変化
84,きんぞくおん,,はがね,変化
85,ギガインパクト,,ノーマル,物理
86,ギガドレイン,,くさ,特殊
87,クイックターン,,みず,物理
88,くさむすび,,くさ,特殊
89,くさわけ,,くさ,物理
90,くすぐる,,ノーマル,変化
91,くちばしキャノン,,ひこう,物理
92,クラブハンマー,,みず,物理
93,クリアスモッグ,,どく,特殊
94,くろいきり,,こおり,変化
95,くろいまなざし,,ノーマル,変化
96,クロスチョップ,,かくとう,物理
97,クロスポイズン,,どく,物理
98,グラススライダー,,くさ,物理
99,グラスフィールド,,くさ,変化
100,けたぐり,,かくとう,物理
101,げきりん,,ドラゴン,物理
102,げんしのちから,,いわ,特殊
103,コーチング,,かくとう,変化
104,こうごうせい,,くさ,変化
105,こうそくいどう,,エスパー,変化
106,こうそくスピン,,ノーマル,物理
107,こおりのいぶき,,こおり,特殊
108,こおりのキバ,,こおり,物理
109,こおりのつぶて,,こおり,物理
110,こごえるかぜ,,こおり,特殊
111,コスモパワー,,エスパー,変化
112,コットンガード,,くさ,変化
113,このゆびとまれ,,ノーマル,変化
114,コメットパンチ,,はがね,物理
115,こらえる,,ノーマル,変化
116,こわいかお,,ノーマル,変化
117,ゴーストダイブ,,ゴースト,物理
118,ゴールドラッシュ,,はがね,特殊
119,ゴッドバード,,ひこう,物理
120,サイコカッター,,エスパー,物理
121,サイコキネシス,,エスパー,特殊
122,サイコショック,,エスパー,特殊
123,サイコノイズ,,エスパー,特殊
124,サイコファング,,エスパー,物理
125,サイコフィールド,,エスパー,変化
126,サイドチェンジ,,エスパー,変化
127,さいはい,,エスパー,変化
128,さいみんじゅつ,,エスパー,変化
129,さきおくり,,あく,変化
130,さむいギャグ,,こおり,変化
131,さわぐ,,ノーマル,特殊
132,サンダーダイブ,,でんき,物理
133,シェルアームズ,,どく,特殊
134,シェルブレード,,みず,物理
135,しおづけ,,いわ,物理
136,しおふき,,みず,特殊
137,シザークロス,,むし,物理
138,しっとのほのお,,ほのお,特殊
139,しっぺがえし,,あく,物理
140,しっぽきり,,ノーマル,変化
141,しねんのずつき,,エスパー,物理
142,しびれごな,,くさ,変化
143,しめつける,,ノーマル,物理
144,シャカシャカほう,,くさ,特殊
145,シャドークロー,,ゴースト,物理
146,シャドーパンチ,,ゴースト,物理
147,シャドーボール,,ゴースト,特殊
148,しんくうは,,かくとう,特殊
149,しんそく,,ノーマル,物理
150,しんぴのまもり,,ノーマル,変化
151,シンプルビーム,,ノーマル,変化
152,ジェットパンチ,,みず,物理
153,じこあんじ,,ノーマル,変化
154,じこさいせい,,ノーマル,変化
155,じごくづき,,あく,物理
156,じしん,,じめん,物理
157,じたばた,,ノーマル,物理
158,じだんだ,,じめん,物理
159,じならし,,じめん,物理
160,じばく,,ノーマル,物理
161,じばそうさ,,でんき,変化
162,ジャイロボール,,はがね,物理
163,じゃれつく,,フェアリー,物理
164,じゅうでん,,でんき,変化
165,じゅうりょく,,エスパー,変化
166,じわれ,,じめん,物理
167,じんつうりき,,エスパー,特殊
168,すてみタックル,,ノーマル,物理
169,すてゼリフ,,あく,変化
170,すなあらし,,いわ,変化
171,すなじごく,,じめん,物理
172,スピードスワップ,,エスパー,変化
173,スマートホーン,,はがね,物理
174,すりかえ,,あく,変化
175,せいちょう,,ノーマル,変化
176,せいなるつるぎ,,かくとう,物理
177,ぜったいれいど,,こおり,特殊
178,そうでん,,でんき,変化
179,そらをとぶ,,ひこう,物理
180,たきのぼり,,みず,物理
181,たくわえる,,ノーマル,変化
182,たたりめ,,ゴースト,特殊
183,たてこもる,,はがね,変化
184,タネばくだん,,くさ,物理
185,タネマシンガン,,くさ,物理
186,だいちのちから,,じめん,特殊
187,だいちのはどう,,ノーマル,特殊
188,だいばくはつ,,ノーマル,物理
189,ダイビング,,みず,物理
190,だいふんげき,,ほのお,物理
191,だいもんじ,,ほのお,特殊
192,だくりゅう,,みず,特殊
193,ダストシュート,,どく,物理
194,ダブルアタック,,ノーマル,物理
195,ダブルウイング,,ひこう,物理
196,ダメおし,,あく,物理
197,ちいさくなる,,ノーマル,変化
198,ちからをすいとる,,くさ,変化
199,ちきゅうなげ,,かくとう,物理
200,チャージビーム,,でんき,特殊
201,ちょうのまい,,むし,変化
202,ちょうはつ,,あく,変化
203,ついばむ,,ひこう,物理
204,ツインビーム,,エスパー,特殊
205,つきのひかり,,フェアリー,変化
206,つけあがる,,あく,物理
207,つじぎり,,あく,物理
208,つのドリル,,ノーマル,物理
209,つばめがえし,,ひこう,物理
